index, matrix_size, precision, error, time, iterations, min_val, max_val
87, 5, 1.000000e-01, 9.266538e-02, 98223, 23, -1.000000e+09, 1.000000e+09, 
88, 5, 1.000000e-01, 5.157541e-02, 113334, 28, -1.000000e+09, 1.000000e+09, 
89, 5, 1.000000e-01, 4.343218e-02, 61333, 13, -1.000000e+09, 1.000000e+09, 
90, 5, 1.000000e-01, 9.283652e-02, 209778, 57, -1.000000e+09, 1.000000e+09, 
91, 5, 1.000000e-01, 4.683424e-02, 96000, 24, -1.000000e+09, 1.000000e+09, 
92, 5, 1.000000e-01, 9.982949e-02, 6637784, 1919, -1.000000e+09, 1.000000e+09, 
93, 5, 1.000000e-01, 4.330843e-02, 84000, 20, -1.000000e+09, 1.000000e+09, 
94, 5, 1.000000e-01, 6.636655e-02, 68000, 16, -1.000000e+09, 1.000000e+09, 
95, 5, 1.000000e-01, 8.192307e-02, 202667, 55, -1.000000e+09, 1.000000e+09, 
96, 5, 1.000000e-01, 6.992441e-02, 185333, 44, -1.000000e+09, 1.000000e+09, 
97, 5, 1.000000e-01, 4.599065e-02, 74667, 21, -1.000000e+09, 1.000000e+09, 
98, 5, 1.000000e-01, 9.077385e-02, 559111, 175, -1.000000e+09, 1.000000e+09, 
99, 5, 1.000000e-01, 9.619723e-02, 4195115, 201, -1.000000e+09, 1.000000e+09, 
0, 5, 1.000000e-02, 3.004863e-03, 107111, 21, -1.000000e+09, 1.000000e+09, 
1, 5, 1.000000e-02, 7.148805e-03, 2017780, 50, -1.000000e+09, 1.000000e+09, 
2, 5, 1.000000e-02, 2.044457e-03, 62222, 16, -1.000000e+09, 1.000000e+09, 
3, 5, 1.000000e-02, 9.662729e-03, 340889, 80, -1.000000e+09, 1.000000e+09, 
4, 5, 1.000000e-02, 7.565581e-03, 213334, 64, -1.000000e+09, 1.000000e+09, 
5, 5, 1.000000e-02, 9.700349e-03, 3778670, 775, -1.000000e+09, 1.000000e+09, 
6, 5, 1.000000e-02, 2.200307e-03, 60000, 11, -1.000000e+09, 1.000000e+09, 
7, 5, 1.000000e-02, 8.379369e-03, 163112, 38, -1.000000e+09, 1.000000e+09, 
8, 5, 1.000000e-02, 9.124935e-03, 584445, 125, -1.000000e+09, 1.000000e+09, 
9, 5, 1.000000e-02, 9.943131e-03, 126222, 26, -1.000000e+09, 1.000000e+09, 
10, 5, 1.000000e-02, 3.589806e-03, 124889, 24, -1.000000e+09, 1.000000e+09, 
11, 5, 1.000000e-02, 8.082071e-03, 150222, 31, -1.000000e+09, 1.000000e+09, 
12, 5, 1.000000e-02, 8.481540e-03, 398223, 95, -1.000000e+09, 1.000000e+09, 
13, 5, 1.000000e-02, 9.883770e-03, 4205781, 1039, -1.000000e+09, 1.000000e+09, 
14, 5, 1.000000e-02, 8.786987e-03, 233333, 50, -1.000000e+09, 1.000000e+09, 
15, 5, 1.000000e-02, 8.235439e-03, 71556, 18, -1.000000e+09, 1.000000e+09, 
